molecule_chembl_id,molecule_name,canonical_smiles,target_chembl_id,target_name,action_type,mechanism_of_action,max_phase
CHEMBL3912251,ONO-8539,Cc1cc(C(=O)O)ccc1COc1cc2c(cc1N(CC(C)C)S(=O)(=O)c1nccs1)CCC2,CHEMBL1811,Prostaglandin E2 receptor EP1 subtype,ANTAGONIST,Prostanoid EP1 receptor antagonist,2
CHEMBL4437054,RILEMATOVIR,CS(=O)(=O)CCCn1c(Cn2c(=O)n(CC(F)(F)F)c3ccncc32)cc2cc(Cl)ccc21,CHEMBL2364165,Fusion glycoprotein F0,INHIBITOR,Fusion glycoprotein F0 inhibitor,3
CHEMBL3334824,BMS-817399,CC(C)[C@@H](NC(=O)NCC(C)(C)O)C(=O)N1CC[C@](O)(c2ccc(Cl)cc2)C(C)(C)C1,CHEMBL2413,C-C chemokine receptor type 1,ANTAGONIST,C-C chemokine receptor type 1 antagonist,2
CHEMBL1651534,REDAFAMDASTAT,O=C(Nc1cccnn1)N1CCC(=Cc2cccc(Oc3ccc(C(F)(F)F)cn3)c2)CC1,CHEMBL2243,Fatty-acid amide hydrolase 1,INHIBITOR,Anandamide amidohydrolase inhibitor,2
CHEMBL4297256,ABT-384,CC(C)(C(=O)NC1C2CC3CC1CC(C(N)=O)(C3)C2)N1CCN(c2ccc(C(F)(F)F)cn2)CC1,CHEMBL4235,11-beta-hydroxysteroid dehydrogenase 1,INHIBITOR,11-beta-hydroxysteroid dehydrogenase 1 inhibitor,2
CHEMBL3113734,UK-500001,Cc1ccc(O)c(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3ccc(F)c(F)c3)CC2)c1,CHEMBL4523374,Phosphodiesterase isozyme 4,INHIBITOR,Phosphodiesterase isozyme 4 inhibitor,2
CHEMBL3219124,AZD-1656,COC[C@H](C)Oc1cc(Oc2cnc(C(=O)N3CCC3)cn2)cc(C(=O)Nc2cnc(C)cn2)c1,CHEMBL3820,Hexokinase-4,ACTIVATOR,Hexokinase type IV activator,2
CHEMBL4594404,RIFAQUIZINONE,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCC(N(C)C6([C@@H]7CCN(c8c(F)cn9c(=O)c(C(=O)O)cc(C%10CC%10)c9c8C)C7)CC6)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@H](C)[C@H](OC(C)=O)[C@H]1C,CHEMBL2364672,Bacterial DNA-directed RNA polymerase,INHIBITOR,Bacterial DNA-directed RNA polymerase inhibitor,2
CHEMBL4303404,PELABRESIB,Cc1noc2c1-c1ccccc1C(c1ccc(Cl)cc1)=N[C@H]2CC(N)=O,CHEMBL4296614,Bromodomain and extra-terminal motif (BET),INHIBITOR,Bromodomain and extra-terminal motif (BET) inhibitor,3
CHEMBL4518483,DANUGLIPRON,N#Cc1ccc(COc2cccc(C3CCN(Cc4nc5ccc(C(=O)O)cc5n4C[C@@H]4CCO4)CC3)n2)c(F)c1,CHEMBL1784,Glucagon-like peptide 1 receptor,AGONIST,Glucagon-like peptide 1 receptor agonist,2
CHEMBL4072756,AZD-5423,COc1cccc([C@@H](Oc2ccc3c(cnn3-c3ccc(F)cc3)c2)[C@H](C)NC(=O)C(F)(F)F)c1,CHEMBL2034,Glucocorticoid receptor,MODULATOR,Glucocorticoid receptor modulator,2
CHEMBL4069597,PRITELIVIR,Cc1nc(N(C)C(=O)Cc2ccc(-c3ccccn3)cc2)sc1S(N)(=O)=O,CHEMBL4630721,Helicase/primase,INHIBITOR,Helicase/primase inhibitor,3
CHEMBL1076263,SETROBUVIR,CS(=O)(=O)Nc1ccc2c(c1)S(=O)(=O)N=C(C1=C(O)[C@@H]3[C@H]4CC[C@H](C4)[C@@H]3N(Cc3ccc(F)cc3)C1=O)N2,CHEMBL4296320,RNA-directed RNA polymerase,INHIBITOR,RNA-directed RNA polymerase inhibitor,2
CHEMBL1082723,CIPARGAMIN,C[C@H]1Cc2c([nH]c3cc(Cl)c(F)cc23)[C@@]2(N1)C(=O)Nc1ccc(Cl)cc12,CHEMBL4630875,P-type ATPase,INHIBITOR,P-type ATPase inhibitor,2
CHEMBL4594448,IPTACOPAN,CCO[C@H]1CCN(Cc2c(OC)cc(C)c3[nH]ccc23)[C@H](c2ccc(C(=O)O)cc2)C1,CHEMBL5731,Complement factor B,INHIBITOR,Complement factor B inhibitor,4
